<<<<<<< HEAD
11:23; операция : (2+4j) + (1+3j) результат :(3+7j)
11:23; операция : (2+4j) + (1+3j) результат :(3+7j)
11:23; операция : 4 + 7 результат :11
=======
23:03; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:04; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:06; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:10; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:10; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:17; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:18; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:23; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:26; операция : (1+3j) * (5+7j) результат :(-16+22j)
23:16; операция : (3+4j) + (2+3j) результат :(5+7j)
23:17; операция : (3+4j) * (2+6j) результат :(-18+26j)
23:19; операция : 3 * 5 результат :15
23:24; операция : (3+4j) / (8-2j) результат :(0.23529411764705882+0.5588235294117647j)
23:25; операция : 2 + -2 результат :0
23:26; операция : (2+1j) * (-2+3j) результат :(-7+4j)
23:42; операция : 3 * 4 результат :12
>>>>>>> logger
